ID,smiles,adsorption_energy
234,P([O-])(=O)(OCCCC(C(C)C)(C(C)C)C(C)(C)C)OCCCC(C(C)C)(C(C)C)C(C)(C)C,362.55586
235,P([O-])(=O)(OCCCC(C(C)C)C(CC)C(C)(C)C)OCCCC(C(C)C)C(CC)C(C)(C)C,323.98854
236,P([O-])(=O)(OCCCCC(C(C)C)C(C)(C)CCC)OCCCCC(C(C)C)C(C)(C)CCC,281.36847
237,P([O-])(=O)(OCCCCC(C)(C(C)CC)C(C)CC)OCCCCC(C)(C(C)CC)C(C)CC,288.72958
238,P([O-])(=O)(OCCCC(C)(C)CC(C)C(C)(C)CC)OCCCC(C)(C)CC(C)C(C)(C)CC,319.06705
239,P([O-])(=O)(OCCCC(CC)(C(C)C)C(C)C(C)C)OCCCC(CC)(C(C)C)C(C)C(C)C,327.79961
240,P([O-])(=O)(OCCCCCC(C)(CCC)CCCC)OCCCCCC(C)(CCC)CCCC,239.36969
241,P([O-])(=O)(OCCCC(CCC(C)C)CCC(C)C)OCCCC(CCC(C)C)CCC(C)C,269.02372
242,P([O-])(=O)(OCCCCCCCCCCCCCC)OCCCCCCCCCCCCCC,221.18542
243,P([O-])(=O)(OCCCCCCC(CC)CCCCC)OCCCCCCC(CC)CCCCC,235.83925
244,P([O-])(=O)(OCCCCCCC(CC)C(C)C(C)C)OCCCCCCC(CC)C(C)C(C)C,271.1606
245,P([O-])(=O)(OCCCCC(CC)C(C)CCC(C)C)OCCCCC(CC)C(C)CCC(C)C,270.06745
246,P([O-])(=O)(OCCCC(C)C(CC)C(CC)C(C)C)OCCCC(C)C(CC)C(CC)C(C)C,289.83785
247,P([O-])(=O)(OCCCCC(C)(CC(C)CC)C(C)C)OCCCCC(C)(CC(C)CC)C(C)C,289.71741
248,P([O-])(=O)(OCCC(C)(C)C(C(C)(C)C)C(C)(C)C)OCCC(C)(C)C(C(C)(C)C)C(C)(C)C,386.03994
249,P([O-])(=O)(OCCCCC(C)(C)C(CC)(CC)CC)OCCCCC(C)(C)C(CC)(CC)CC,286.38412
250,P([O-])(=O)(OCCCCCC(C)C(CC)CCCC)OCCCCCC(C)C(CC)CCCC,239.6776
251,P([O-])(=O)(OCCCC(CC)C(C(C)C)C(C)(C)C)OCCCC(CC)C(C(C)C)C(C)(C)C,323.42424
252,P([O-])(=O)(OCCCC(C)(C(C)C(C)C)C(C)(C)C)OCCCC(C)(C(C)C(C)C)C(C)(C)C,372.81725
253,P([O-])(=O)(OCCCC(CC)(CC(C)(C)C)C(C)C)OCCCC(CC)(CC(C)(C)C)C(C)C,325.93092
254,P([O-])(=O)(OCCCCCCC(C)(CC)CCCC)OCCCCCCC(C)(CC)CCCC,239.32557
